src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size,vpn_label
192.168.31.160,185.70.42.36,59482,443,6,14.997320890426636,773,54367,70.33247089262613,103.58471141305552,Non-VPN
192.168.31.160,185.70.42.36,59483,443,6,0.705456018447876,8,2327,290.875,427.2608797620021,Non-VPN
185.70.42.36,192.168.31.160,443,59482,6,254.46415781974792,2089,2649979,1268.539492580182,166.15345412248294,Non-VPN
185.70.42.36,192.168.31.160,443,59483,6,222.9305500984192,16,5285,330.3125,467.0814595375736,Non-VPN
192.168.31.160,192.168.31.1,53826,53,17,0.0,1,81,81.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,64290,53,17,0.0,1,81,81.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,64290,17,0.0,1,97,97.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,57724,53,17,0.0,1,81,81.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,53826,17,0.0,1,129,129.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,57724,17,0.0,1,129,129.0,0.0,Non-VPN
192.168.31.160,185.70.42.20,59484,443,6,0.8579890727996826,6,2099,349.8333333333333,474.32844340416926,Non-VPN
192.168.31.160,185.70.42.20,59485,443,6,2.0190978050231934,46,5069,110.19565217391305,210.1374932468096,Non-VPN
192.168.31.160,185.70.42.20,59486,443,6,1.2571449279785156,9,2429,269.8888888888889,412.0287057002069,Non-VPN
185.70.42.20,192.168.31.160,443,59485,6,231.69829201698303,92,100035,1087.3369565217392,444.1803217156664,Non-VPN
185.70.42.20,192.168.31.160,443,59484,6,0.7496390342712402,6,4035,672.5,614.5528862514601,Non-VPN
185.70.42.20,192.168.31.160,443,59486,6,218.74516201019287,16,5305,331.5625,467.5058781381791,Non-VPN
192.168.31.141,239.255.255.250,53122,1900,17,0.0,1,327,327.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,37207,1900,17,0.0,1,336,336.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,40582,1900,17,0.0,1,383,383.0,0.0,Non-VPN
