src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size
192.168.31.141,239.255.255.250,60180,1900,17,0.0,1,391,391.0,0.0
192.168.31.141,239.255.255.250,55305,1900,17,0.0,1,393,393.0,0.0
192.168.31.141,239.255.255.250,47409,1900,17,0.0,1,381,381.0,0.0
192.168.31.141,239.255.255.250,56248,1900,17,0.0,1,327,327.0,0.0
192.168.31.141,239.255.255.250,37504,1900,17,0.0,1,336,336.0,0.0
192.168.31.141,239.255.255.250,33482,1900,17,0.0,1,383,383.0,0.0
192.168.31.141,239.255.255.250,53394,1900,17,0.0,1,391,391.0,0.0
192.168.31.141,239.255.255.250,56942,1900,17,0.0,1,393,393.0,0.0
192.168.31.141,239.255.255.250,58706,1900,17,0.0,1,381,381.0,0.0
192.168.31.160,192.168.31.1,61435,53,17,0.0,1,88,88.0,0.0
192.168.31.1,192.168.31.160,53,61435,17,0.0,1,104,104.0,0.0
192.168.31.160,185.159.159.148,59487,443,6,14.508837938308716,9,1542,171.33333333333334,199.762636924704
185.159.159.148,192.168.31.160,443,59487,6,14.46425986289978,8,2489,311.125,411.81532192841
192.168.31.160,192.168.31.1,60684,53,17,2.8998429775238037,5,412,82.4,9.728309205612248
192.168.31.1,192.168.31.160,53,60684,17,2.842829942703247,5,594,118.8,32.98120676991671
192.168.31.160,31.14.252.2,59488,443,6,0.9763250350952148,5,370,74.0,34.31617694324355
192.168.31.160,31.14.252.2,59489,443,6,1.580590009689331,6,512,85.33333333333333,40.29336863003087
192.168.31.160,31.14.252.2,60690,500,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60689,51820,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60688,1194,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60686,51820,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60685,80,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60687,1224,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60691,5060,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60693,88,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60692,4500,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60694,4569,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,60695,443,17,0.0,1,80,80.0,0.0
192.168.31.160,104.215.41.138,59423,443,6,0.16065692901611328,2,108,54.0,0.0
192.168.31.160,224.0.0.252,57466,5355,17,0.0,1,75,75.0,0.0
104.215.41.138,192.168.31.160,443,59423,6,0.0,1,54,54.0,0.0
31.14.252.2,192.168.31.160,443,59489,6,1.2805819511413574,4,328,82.0,41.8568990729127
31.14.252.2,192.168.31.160,443,59488,6,0.6532318592071533,4,328,82.0,41.8568990729127
192.168.31.160,4.213.25.242,49412,443,6,0.47336316108703613,14,3380,241.42857142857142,326.19970094707196
4.213.25.242,192.168.31.160,443,49412,6,0.3526120185852051,18,7919,439.94444444444446,478.8497180422432
192.168.31.160,224.0.0.251,5353,5353,17,1927.7351460456848,60,5936,98.93333333333334,34.70872448759181
192.168.31.160,224.0.0.252,52782,5355,17,0.0,1,75,75.0,0.0
192.168.31.160,74.125.169.38,59490,443,6,0.22895097732543945,19,12817,674.578947368421,598.6507914327872
74.125.169.38,192.168.31.160,443,59490,6,155.3198699951172,23,8049,349.95652173913044,503.96501588907483
192.168.31.160,172.217.136.233,59491,443,6,0.6294300556182861,209,23004,110.06698564593302,253.8082109647255
172.217.136.233,192.168.31.160,443,59491,6,155.52186703681946,668,851384,1274.5269461077844,220.83729655417443
192.168.31.160,192.168.31.1,50243,53,17,0.0,1,68,68.0,0.0
192.168.31.1,192.168.31.160,53,50243,17,0.0,1,68,68.0,0.0
192.168.31.160,31.14.252.2,59492,443,6,1.6963248252868652,6,436,72.66666666666667,31.467796589882525
192.168.31.160,31.14.252.2,50244,443,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,50245,51820,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,50246,500,17,0.0,1,80,80.0,0.0
192.168.31.160,31.14.252.2,50247,88,17,0.0,1,80,80.0,0.0
